"Country","ParticipantName","Address","City","BIC","Readiness Date","Scheme Leaving Date"
"AUSTRIA","Raiffeisenbank Friesach-Metnitztal reg.Gen.m.b.H.","Hauptplatz 13","Friesach/Ktn.","RZKTAT2K501","2009-11-02",""
"AUSTRIA","Raiffeisenbank Fuerstenfeld eGen","Stadt-Zug-Platz 4","Fuerstenfeld","RZSTAT2G077","2009-11-02",""
"AUSTRIA","Raiffeisenbank Fulpmes-Telfes im Stubai reg.Gen.m.b.H.","Kirchstrasse 3","Fulpmes","RZTIAT22230","2009-11-02",""
"AUSTRIA","Raiffeisenbank Gamlitz eGen","Obere Hauptstrasse 210","Gamlitz","RZSTAT2G094","2009-11-02",""
"AUSTRIA","Raiffeisenbank Gampern eGen","Gampern 70","Gampern","RZOOAT2L113","2009-11-02",""
"AUSTRIA","Raiffeisenbank Gastein eGen","Kaiser-Franz-Platz 4","Bad Hofgastein","RVSAAT2S026","2009-11-02",""
"AUSTRIA","Raiffeisenbank Geretsberg eGen","Geretsberg 3","Geretsberg","RZOOAT2L118","2009-11-02",""
"AUSTRIA","Raiffeisenbank Gleinstaetten-Leutschach eGen","Gleinstaetten 168","Gleinstaetten","RZSTAT2G102","2009-11-02",""
"AUSTRIA","Raiffeisenbank Golling-Scheffau-Kellau eGen","Markt 45","Golling","RVSAAT2S017","2009-11-02",""
"AUSTRIA","Raiffeisenbank Grafenstein-Magdalensberg und Umgebung reg.Gen.m.b.H.","Klopeiner Strasse 4","Grafenstein","RZKTAT2K320","2009-11-02",""
"AUSTRIA","Raiffeisenbank Gramastetten-Herzogsdorf eGen","Marktstrasse 41","Gramastetten","RZOOAT2L135","2009-11-02",""
"AUSTRIA","Raiffeisenbank Gratkorn eGen","Grazer Strasse 5","Gratkorn","RZSTAT2G111","2009-11-02",""
"AUSTRIA","Raiffeisenbank Gratwein eGen","Bahnhofstrasse 22","Gratwein","RZSTAT2G112","2009-11-02",""
"AUSTRIA","Raiffeisenbank Graz-Andritz eGen","Grazerstrasse 62","Graz-Andritz","RZSTAT2G377","2009-11-02",""
"AUSTRIA","Raiffeisenbank Graz-Mariatrost eGen","Mariatrosterstrasse 255","Graz-Mariatrost","RZSTAT2G223","2009-11-02",""
"AUSTRIA","Raiffeisenbank Graz-St.Peter eGen","St. Peter-Hauptstrasse 55","Graz-St.Peter","RZSTAT2G367","2009-11-02",""
"AUSTRIA","Raiffeisenbank Graz-Strassgang eGen","Kaerntner Strasse 394","Graz-Strassgang","RZSTAT2G439","2009-11-02",""
"AUSTRIA","Raiffeisenbank Grein eGen","Hauptstrasse 25","Grein","RZOOAT2L068","2009-11-02",""
"AUSTRIA","Raiffeisenbank Groedig eGen","Hauptstrasse 28","Groedig","RVSAAT2S018","2009-11-02",""
"AUSTRIA","RAIFFEISENBANK GROSS GERUNGS eGen","47, HAUPTPLATZ","GROSSGERUNGS","RLNWATW1589","2009-11-02",""
"AUSTRIA","Raiffeisenbank Gross St.Florian-Wettmannstaetten eGen","Marktstrasse 3","Gross St. Florian","RZSTAT2G118","2009-11-02",""
"AUSTRIA","Raiffeisenbank Grossarl-Huettschlag eGen","Grossarl 90","Grossarl","RVSAAT2S019","2009-11-02",""
"AUSTRIA","Raiffeisenbank Grossgmain eGen","Salzburger Str. 53","Grossgmain","RVSAAT2S020","2009-11-02",""
"AUSTRIA","Raiffeisenbank Grosswilfersdorf eGen","Grosswilfersdorf 200","Grosswilfersdorf","RZSTAT2G122","2009-11-02",""
"AUSTRIA","Raiffeisenbank Gruenau-St. Konrad-Scharnstein eGen","Im Dorf 15","Gruenau im Almtal","RZOOAT2L127","2009-11-02",""
"AUSTRIA","Raiffeisenbank Gunskirchen eGen","Raiffeisenplatz 1","Gunskirchen","RZOOAT2L129","2009-11-02",""
"AUSTRIA","Raiffeisenbank Gurktal reg.Gen.m.b.H.","Hauptplatz 5","Strassburg","RZKTAT2K511","2009-11-02",""
"AUSTRIA","Raiffeisenbank Halbenrain-Tieschen eGen","Halbenrain 125","Halbenrain","RZSTAT2G128","2009-11-02",""
"AUSTRIA","Raiffeisenbank Hallein eGen","Robertplatz 1","Hallein","RVSAAT2S022","2009-11-02",""
"AUSTRIA","Raiffeisenbank Handenberg-St. Georgen a. F. eGen","Baumgartnerstrasse 1","Handenberg","RZOOAT2L155","2009-11-02",""
"AUSTRIA","Raiffeisenbank Hartberg eGen","Wiesengasse 2","Hartberg","RZSTAT2G403","2009-11-02",""
"AUSTRIA","Raiffeisenbank Hausmannstaetten eGen","Grazer Strasse 6","Hausmannstaetten","RZSTAT2G133","2009-11-02",""
"AUSTRIA","Raiffeisenbank Heideboden eGen","Wiener Strasse 3","St.Andrae/Zicksee","RLBBAT2E090","2009-11-02",""
"AUSTRIA","Raiffeisenbank Heiligenkreuz-Kirchbach-St. Georgen eGen","Kirchbach 15","Kirchbach","RZSTAT2G170","2009-11-02",""
"AUSTRIA","Raiffeisenbank Helfenberg-St. Stefan eGen","Leonfeldner Strasse 5","Helfenberg","RZOOAT2L160","2009-11-02",""
