"Country","ParticipantName","Address","City","BIC","Readiness Date","Scheme Leaving Date"
"AUSTRIA","Raiffeisenbank Drautal reg.Gen.m.b.H.","Hauptstrasse 163","Paternion","RZKTAT2K442","2008-01-28",""
"AUSTRIA","Raiffeisenbank Dreilaendereck Bgld-Nord eGen","Mittlere Hauptstrasse 71 - 73","Nickelsdorf","RLBBAT2E038","2008-01-28",""
"AUSTRIA","Raiffeisenbank Eberndorf reg.Gen.m.b.H.","Bahnstrasse 22","Eberndorf","RZKTAT2K288","2008-01-28",""
"AUSTRIA","Raiffeisenbank Eberschwang eGen","Eberschwang 116","Eberschwang","RZOOAT2L081","2008-01-28",""
"AUSTRIA","Raiffeisenbank Edt-Lambach eGen","Marktplatz 14","Lambach","RZOOAT2L083","2008-01-28",""
"AUSTRIA","RAIFFEISENBANK EGGENBURG eGen","Hauptplatz 24-26","EGGENBURG","RLNWATWW123","2008-01-28",""
"AUSTRIA","Raiffeisenbank Ehrwald-Lermoos-Biberwier reg.Gen.m.b.H.","Kirchplatz 31","Ehrwald","RZTIAT22219","2008-01-28",""
"AUSTRIA","Raiffeisenbank Ennstal eGen","Kirchenplatz 11","Ternberg","RZOOAT2L080","2008-01-28",""
"AUSTRIA","Raiffeisenbank Erl reg.Gen.m.b.H.","Dorf 44","Erl","RZTIAT22223","2008-01-28",""
"AUSTRIA","Raiffeisenbank Faistenau-Hintersee eGen","Faistenau 44","Faistenau","RVSAAT2S016","2008-01-28",""
"AUSTRIA","Raiffeisenbank Feldkirch","Domplatz 3","Feldkirch","RVVGAT2B422","2008-01-28",""
"AUSTRIA","Raiffeisenbank Feldkirchen-Goldwoerth eGen","Hauptstrasse 2","Feldkirchen a.d. Donau","RZOOAT2L100","2008-01-28",""
"AUSTRIA","Raiffeisenbank Flachgau Mitte eGen","Dorf 1","Eugendorf","RVSAAT2S015","2008-01-28",""
"AUSTRIA","Raiffeisenbank Frauenkirchen-Podersdorf am See eGen","Amtshausgasse 2","Frauenkirchen","RLBBAT2E116","2008-01-28",""
"AUSTRIA","Raiffeisenbank Friesach-Metnitztal reg.Gen.m.b.H.","Hauptplatz 13","Friesach/Ktn.","RZKTAT2K501","2008-01-28",""
"AUSTRIA","Raiffeisenbank Fuerstenfeld eGen","Stadt-Zug-Platz 4","Fuerstenfeld","RZSTAT2G077","2008-01-28",""
"AUSTRIA","Raiffeisenbank Fulpmes-Telfes im Stubai reg.Gen.m.b.H.","Kirchstrasse 3","Fulpmes","RZTIAT22230","2008-01-28",""
"AUSTRIA","Raiffeisenbank Gamlitz eGen","Obere Hauptstrasse 210","Gamlitz","RZSTAT2G094","2008-01-28",""
"AUSTRIA","Raiffeisenbank Gampern eGen","Gampern 70","Gampern","RZOOAT2L113","2008-01-28",""
"AUSTRIA","Raiffeisenbank Gastein eGen","Kaiser-Franz-Platz 4","Bad Hofgastein","RVSAAT2S026","2008-01-28",""
"AUSTRIA","Raiffeisenbank Geretsberg eGen","Geretsberg 3","Geretsberg","RZOOAT2L118","2008-01-28",""
